|||||||B3LYP|B3LYP|B3LYP|PBE|PBE|PBE|PB86|PB87|PB88|M06|M07|M08
97|Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3c3cc4c(cc23)c2sc(c3ccc(c5ccc(c6cccs6)c6nsnc56)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1|Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6cccs6)c6nsnc65)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1|InChI=1S/C58H40N2S5/c1-33-7-15-37(16-8-33)57(38-17-9-34(2)10-18-38)45-27-29-62-55(45)43-30-47-44(31-46(43)57)56-48(58(47,39-19-11-35(3)12-20-39)40-21-13-36(4)14-22-40)32-52(64-56)51-26-25-50(63-51)42-24-23-41(49-6-5-28-61-49)53-54(42)60-65-59-53/h5-32H,1-4H3|10.1021/ar900061z,COJIKJOAEDHYBT-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.43,-3.66,1.77,1.7,4.28,0.8,10.1,53.0|Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6cccs6)c6nsnc65)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1|16|-0.18|-0.104937|0.0750625|-0.189063|-0.104188|0.084875|-0.165875|-0.124188|0.0416875|-0.21975|-0.0820625|0.137687
98|Cn1c2ccccc2c2ccc(c3ccc(c4nnc(c5cccs5)c5nonc45)s3)cc12|Cn1c2ccccc2c2ccc(-c3ccc(-c4nnc(-c5cccs5)c5nonc54)s3)cc21|InChI=1S/C25H15N5OS2/c1-30-17-6-3-2-5-15(17)16-9-8-14(13-18(16)30)19-10-11-21(33-19)23-25-24(28-31-29-25)22(26-27-23)20-7-4-12-32-20/h2-13H,1H3|10.1039/C1EE01072G,VAALSNWLPKMJHX-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.7,-4.15,1.55,1.57,0.5,0.82,1.52,38.0|Cn1c2ccccc2c2ccc(-c3ccc(-c4nnc(-c5cccs5)c5nonc54)s3)cc21|13|-0.204769|-0.126462|0.0783077|-0.214154|-0.125615|0.0885385|-0.188692|-0.144846|0.0438462|-0.245923|-0.102692|0.143231
99|Cc1csc(c2ccc(c3cc(C)c(c4cc5c(s4)c4sccc4c4cc(C)c(C)cc54)s3)c3nsnc23)c1|Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c4sccc4c4cc(C)c(C)cc54)s3)c3nsnc32)c1|InChI=1S/C32H22N2S5/c1-15-9-25(36-14-15)20-5-6-21(29-28(20)33-39-34-29)26-12-18(4)30(37-26)27-13-24-23-11-17(3)16(2)10-22(23)19-7-8-35-31(19)32(24)38-27/h5-14H,1-4H3|10.1021/ma101646r,BNMHFLJJCSYEGW-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.34,-3.29,2.05,1.61,5.1,0.67,14.2,54.0|Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c4sccc4c4cc(C)c(C)cc54)s3)c3nsnc32)c1|16|-0.184938|-0.105563|0.079375|-0.1945|-0.105062|0.0894375|-0.169563|-0.125|0.0445625|-0.224875|-0.0825625|0.142312
100|COc1ccc2c(c1)c1cc(OC)c(c3ccc(c4ccc(c5cccs5)c5nsnc45)s3)cc1[Si]2(C)C|COc1ccc2c(c1)-c1cc(OC)c(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1[Si]2(C)C|InChI=1S/C30H24N2O2S3Si/c1-33-17-7-12-27-20(14-17)21-15-23(34-2)22(16-28(21)38(27,3)4)26-11-10-25(36-26)19-9-8-18(24-6-5-13-35-24)29-30(19)32-37-31-29/h5-16H,1-4H3|10.1021/ma102173a,RUZKPWMSIMRBJA-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.27666666667,-3.55666666667,1.72,1.77333333333,4.05,0.67,11.1,54.3|COc1ccc2c(c1)-c1cc(OC)c(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc1[Si]2(C)C|13|-0.188462|-0.102769|0.0856923|-0.197923|-0.102385|0.0955385|-0.172462|-0.123308|0.0491538|-0.229308|-0.0790769|0.150231
101|Cn1c(c2ccc(C=C(C#N)C(=O)O)s2)ccc1c1ccc(N(c2ccccc2)c2ccccc2)cc1|Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1|InChI=1S/C31H23N3O2S/c1-33-28(17-18-29(33)30-19-16-27(37-30)20-23(21-32)31(35)36)22-12-14-26(15-13-22)34(24-8-4-2-5-9-24)25-10-6-3-7-11-25/h2-20H,1H3,(H,35,36)/b23-20+|10.1021/jp801036s,IBOVHEXCAAGEKT-BSYVCWPDSA-N,molecule,DSSC,TiO2,-5.11,-3.08,2.03,nan,4.79,0.57,14.2,60.0|Cn1c(-c2ccc(C=C(C#N)C(=O)O)s2)ccc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1|13|-0.192846|-0.102|0.0908462|-0.201538|-0.100692|0.100846|-0.175308|-0.121769|0.0535385|-0.232769|-0.0778462|0.154923
102|Cc1ccc(c2nc3c(nc2c2ccc(C)cc2)c(c2ccc(c4ccc5c(c4)C(C)(C)c4ccccc54)s2)sc3c2cccs2)cc1|Cc1ccc(-c2nc3c(nc2-c2ccc(C)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1|InChI=1S/C43H32N2S3/c1-25-11-15-27(16-12-25)37-38(28-17-13-26(2)14-18-28)45-40-39(44-37)41(35-10-7-23-46-35)48-42(40)36-22-21-34(47-36)29-19-20-31-30-8-5-6-9-32(30)43(3,4)33(31)24-29/h5-24H,1-4H3|10.1021/ar900061z,XTRZUQMGHPXWQV-UHFFFAOYSA-N,polymer,bulk,PC61BM,nan,nan,nan,nan,1.45,0.64,3.9,58.0|Cc1ccc(-c2nc3c(nc2-c2ccc(C)cc2)c(-c2ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s2)sc3-c2cccs2)cc1|13|-0.178|-0.101154|0.0768462|-0.187|-0.100846|0.0861538|-0.164|-0.121615|0.0423846|-0.216538|-0.079|0.137538
103|CC1(C)c2ccccc2c2cc3c(cc12)c1ccc(c2ccc(c4ccc(c5cccs5)c5nsnc45)s2)cc1C3(C)C|CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C|InChI=1S/C38H28N2S3/c1-37(2)28-9-6-5-8-22(28)26-19-31-27(20-30(26)37)23-12-11-21(18-29(23)38(31,3)4)32-15-16-34(42-32)25-14-13-24(33-10-7-17-41-33)35-36(25)40-43-39-35/h5-20H,1-4H3|10.1021/ja909111p,VENYVECAJGYQMX-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.48,-3.45,2.03,1.97,2.44,1.0,6.1,40.0|CC1(C)c2ccccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc54)s2)cc1C3(C)C|6|-0.189|-0.105|0.084|-0.198|-0.104833|0.0931667|-0.174|-0.126|0.048|-0.229167|-0.081|0.148167
104|Cc1csc(c2sc(c3nc4cc5sc(c6cc(C)c(c7cc(C)cs7)s6)nc5cc4s3)cc2C)c1|Cc1csc(-c2sc(-c3nc4cc5sc(-c6cc(C)c(-c7cc(C)cs7)s6)nc5cc4s3)cc2C)c1|InChI=1S/C28H20N2S6/c1-13-5-21(31-11-13)25-15(3)7-23(33-25)27-29-17-9-20-18(10-19(17)35-27)30-28(36-20)24-8-16(4)26(34-24)22-6-14(2)12-32-22/h5-12H,1-4H3|10.1002/adma.201200721,SSJXXAWUFYXKCK-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.4,-2.8,2.6,2.2,0.61,0.53,3.52,33.0|Cc1csc(-c2sc(-c3nc4cc5sc(-c6cc(C)c(-c7cc(C)cs7)s6)nc5cc4s3)cc2C)c1|16|-0.192625|-0.090375|0.10225|-0.202625|-0.089375|0.11325|-0.175625|-0.11075|0.064875|-0.23475|-0.066625|0.168125
105|COC(=O)C(=Cc1cc(C)c(c2cc(C)c(c3ccc(c4sc(c5sc(c6cc7c(s6)c(OC)c6cc(c8cc(C)c(c9cc(C)c(c%10ccc(c%11sc(c%12sc(C=C(C#N)C(=O)OC)cc%12C)cc%11C)s%10)s9)s8)sc6c7OC)cc5C)cc4C)s3)s2)s1)C#N|COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6cc7c(s6)c(OC)c6cc(-c8cc(C)c(-c9cc(C)c(-c%10ccc(-c%11sc(-c%12sc(C=C(C#N)C(=O)OC)cc%12C)cc%11C)s%10)s9)s8)sc6c7OC)cc5C)cc4C)s3)s2)s1|InChI=1S/C70H52N2O6S12/c1-31-17-41(25-39(29-71)69(73)77-11)79-63(31)53-21-35(5)59(87-53)45-13-15-47(81-45)61-37(7)23-55(89-61)65-33(3)19-49(83-65)51-27-43-57(75-9)68-44(58(76-10)67(43)85-51)28-52(86-68)50-20-34(4)66(84-50)56-24-38(8)62(90-56)48-16-14-46(82-48)60-36(6)22-54(88-60)64-32(2)18-42(80-64)26-40(30-72)70(74)78-12/h13-28H,1-12H3/b39-25+,40-26+|10.1021/ar400088c,IGPMNVDQTHORMH-SSMSOEPNSA-N,molecule,bulk,PC61BM,-4.98,-3.25,1.73,1.79,5.13,0.79,9.51,68.3|COC(=O)C(C#N)=Cc1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6cc7c(s6)c(OC)c6cc(-c8cc(C)c(-c9cc(C)c(-c%10ccc(-c%11sc(-c%12sc(C=C(C#N)C(=O)OC)cc%12C)cc%11C)s%10)s9)s8)sc6c7OC)cc5C)cc4C)s3)s2)s1|9|-0.182444|-0.111778|0.0706667|-0.191|-0.111444|0.0795556|-0.168889|-0.130111|0.0387778|-0.22|-0.0898889|0.130111
106|COC(=O)c1cc2c(c3cccs3)sc(c3ccc(c4cc5c(s4)c(c4ccc(C)s4)c4ccsc4c5c4ccc(C)s4)s3)c2s1|COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1|InChI=1S/C36H22O2S8/c1-17-6-8-23(41-17)29-19-12-14-40-32(19)30(24-9-7-18(2)42-24)20-15-27(44-33(20)29)22-10-11-26(43-22)35-34-21(16-28(45-34)36(37)38-3)31(46-35)25-5-4-13-39-25/h4-16H,1-3H3|10.1021/ar5000743,VKIHBOWYNZFSJF-UHFFFAOYSA-N,polymer,bulk,PC71BM,-4.9,-3.1,1.8,1.61,4.5,0.56,12.2,66.7|COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c2s1|15|-0.1828|-0.0966667|0.0861333|-0.191933|-0.0962667|0.0956667|-0.167|-0.116467|0.0505333|-0.2222|-0.0738|0.1484
107|Cc1ccsc1c1nnc(c2sc(c3cc4c(s3)c3sccc3C4(C)C)cc2C)nn1|Cc1ccsc1-c1nnc(-c2sc(-c3cc4c(s3)-c3sccc3C4(C)C)cc2C)nn1|InChI=1S/C23H18N4S4/c1-11-5-7-28-17(11)21-24-26-22(27-25-21)18-12(2)9-15(30-18)16-10-14-20(31-16)19-13(6-8-29-19)23(14,3)4/h5-10H,1-4H3|10.1002/pola.24774,NVWZTDXUSGFQBA-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.475,-3.885,1.59,1.715,1.21,0.57,6.23,34.0|Cc1ccsc1-c1nnc(-c2sc(-c3cc4c(s3)-c3sccc3C4(C)C)cc2C)nn1|14|-0.19|-0.0959286|0.0940714|-0.199|-0.0945714|0.104429|-0.174071|-0.123571|0.0505|-0.23|-0.0718571|0.158143
108|COC(=O)C(=Cc1sc(c2cc(C)c(c3ccc(c4sc(c5sc(c6ccc(c7cc(C)c(c8cc(C)c(c9ccc(c%10sc(c%11sc(C=C(C#N)C(=O)OC)cc%11C)cc%10C)s9)s8)s7)c7nsnc67)cc5C)cc4C)s3)s2)c(C)c1)C#N|COC(=O)C(C#N)=CC1=S=C(c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6ccc(-c7cc(C)c(-c8cc(C)c(-c9ccc(-c%10sc(C%11=S=C(C=C(C#N)C(=O)OC)C=C%11C)cc%10C)s9)s8)s7)c7nsnc76)cc5C)cc4C)s3)s2)C(C)=C1|InChI=1S/C64H46N4O4S11/c1-29-17-39(25-37(27-65)63(69)71-9)73-59(29)49-21-33(5)55(79-49)43-13-15-45(75-43)57-35(7)23-51(81-57)61-31(3)19-47(77-61)41-11-12-42(54-53(41)67-83-68-54)48-20-32(4)62(78-48)52-24-36(8)58(82-52)46-16-14-44(76-46)56-34(6)22-50(80-56)60-30(2)18-40(74-60)26-38(28-66)64(70)72-10/h11-26H,1-10H3/b37-25+,38-26+|10.1021/ar400088c,NYDSLBBNKCNVFG-UVGVUKCTSA-N,molecule,bulk,PC61BM,-4.98,-3.21,1.77,1.6,3.07,0.78,7.1,55.4|COC(=O)C(C#N)=CC1=S=C(c2cc(C)c(-c3ccc(-c4sc(-c5sc(-c6ccc(-c7cc(C)c(-c8cc(C)c(-c9ccc(-c%10sc(C%11=S=C(C=C(C#N)C(=O)OC)C=C%11C)cc%10C)s9)s8)s7)c7nsnc76)cc5C)cc4C)s3)s2)C(C)=C1|7|-0.179857|-0.117286|0.0625714|-0.188571|-0.117143|0.0714286|-0.168|-0.135429|0.0325714|-0.216429|-0.095|0.121429
109|Cn1c(=O)c2c(c3ccc(c4ccc5ccccc5c4)s3)n(C)c(=O)c2c1c1cccs1|CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(C)C(=O)C2=C1c1cccs1|InChI=1S/C26H18N2O2S2/c1-27-23(19-8-5-13-31-19)21-22(26(27)30)24(28(2)25(21)29)20-12-11-18(32-20)17-10-9-15-6-3-4-7-16(15)14-17/h3-14H,1-2H3|10.1039/c1ee01213d,WZUDXRGQLGBIGI-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.29,-3.3,1.99,1.5,4.7,0.76,11.8,52.0|CN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(C)C(=O)C2=C1c1cccs1|13|-0.184462|-0.103462|0.081|-0.193231|-0.102846|0.0903846|-0.168462|-0.122846|0.0456154|-0.223385|-0.0818462|0.141538
110|CC1(C)c2ccccc2c2ccc(N(c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)sc4c3)c3ccc4c(c3)C(C)(C)c3ccccc43)cc12|CC1(C)c2ccccc2-c2ccc(N(c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)sc4c3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21|InChI=1S/C48H36N2O2S2/c1-47(2)41-11-7-5-9-37(41)39-21-15-31(25-43(39)47)50(32-16-22-40-38-10-6-8-12-42(38)48(3,4)44(40)26-32)33-14-13-29-23-36(54-45(29)27-33)20-18-34-17-19-35(53-34)24-30(28-49)46(51)52/h5-27H,1-4H3,(H,51,52)/b20-18+,30-24?|10.1039/B908802D,INBCAUDVFAWBAB-UDTARAQFSA-N,molecule,DSSC,TiO2,nan,nan,nan,nan,5.49,0.67,12.66,65.0|CC1(C)c2ccccc2-c2ccc(N(c3ccc4cc(C=Cc5ccc(C=C(C#N)C(=O)O)s5)sc4c3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21|17|-0.187882|-0.113706|0.0741765|-0.196235|-0.113|0.0832353|-0.172|-0.131647|0.0403529|-0.226647|-0.0915882|0.135059
111|Cc1ccsc1c1cc(C)c(c2ccc(c3cc(C)c(c4sc(c5ccc6c7cc8c(cc7n(C)c6c5)c5ccccc5n8C)c(C)c4)s3)c3nsnc23)s1|Cc1ccsc1-c1cc(C)c(-c2ccc(-c3cc(C)c(C4=S=C(c5ccc6c7cc8c(cc7n(C)c6c5)c5ccccc5n8C)C(C)=C4)s3)c3nsnc32)s1|InChI=1S/C46H34N4S5/c1-23-15-16-51-45(23)39-19-25(3)44(54-39)31-14-13-30(41-42(31)48-55-47-41)38-17-26(4)46(52-38)40-18-24(2)43(53-40)27-11-12-29-33-22-36-32(21-37(33)50(6)35(29)20-27)28-9-7-8-10-34(28)49(36)5/h7-22H,1-6H3|10.1021/ar900061z,CMWYMYBMKQJEJP-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.17,-3.15,2.02,1.89,3.61,0.69,9.17,57.0|Cc1ccsc1-c1cc(C)c(-c2ccc(-c3cc(C)c(C4=S=C(c5ccc6c7cc8c(cc7n(C)c6c5)c5ccccc5n8C)C(C)=C4)s3)c3nsnc32)s1|19|-0.179789|-0.102053|0.0777368|-0.188895|-0.101895|0.087|-0.164316|-0.121526|0.0427895|-0.219947|-0.0794737|0.140474
112|C[Si]1(C)c2ccsc2c2sc(c3cccc4nonc34)cc12|C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nonc43)cc21|InChI=1S/C16H12N2OS2Si/c1-22(2)12-6-7-20-15(12)16-13(22)8-11(21-16)9-4-3-5-10-14(9)18-19-17-10/h3-8H,1-2H3|10.1002/adma.200903677,OBKDBGMXRFTYCH-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.5,-3.7,1.8,nan,5.4,0.68,13.7,58.0|C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nonc43)cc21|2|-0.2|-0.103|0.097|-0.2095|-0.102|0.1075|-0.1825|-0.124|0.0585|-0.242|-0.077|0.165
113|COc1ccc(N(c2ccc(OC)cc2)c2ccc(c3cc4c(s3)c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)cc2)cc1|COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)cc2)cc1|InChI=1S/C35H28N2O4S2/c1-35(2)29-18-28(17-22(20-36)34(38)39)42-32(29)33-30(35)19-31(43-33)21-5-7-23(8-6-21)37(24-9-13-26(40-3)14-10-24)25-11-15-27(41-4)16-12-25/h5-19H,1-4H3,(H,38,39)|10.1039/c1ee02432a,VKBHEWZDVZAGLK-UHFFFAOYSA-N,molecule,DSSC,TiO2,nan,nan,nan,nan,9.3,0.95,13.3,74.0|COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc4c(s3)-c3sc(C=C(C#N)C(=O)O)cc3C4(C)C)cc2)cc1|15|-0.183133|-0.1018|0.0813333|-0.191533|-0.101067|0.0904667|-0.165467|-0.119267|0.0462|-0.222933|-0.0803333|0.1426
114|COC(=O)c1cc2csc(c3cc4c(s3)c(c3ccc(C)s3)c3ccsc3c4c3ccc(C)s3)c2s1|COC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1|InChI=1S/C28H18O2S6/c1-13-4-6-18(33-13)22-16-8-9-31-25(16)23(19-7-5-14(2)34-19)17-11-20(35-26(17)22)27-24-15(12-32-27)10-21(36-24)28(29)30-3/h4-12H,1-3H3|10.1002/anie.201103313,RNYJMGWQVBKURE-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.09,-3.22,1.87,1.58,6.21,0.68,14.59,62.6|COC(=O)c1cc2csc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4-c3ccc(C)s3)c2s1|14|-0.187429|-0.0829286|0.1045|-0.197214|-0.0817857|0.115429|-0.17|-0.105429|0.0645714|-0.228786|-0.0568571|0.171929
115|CC1(C)c2cc(c3ccc(C=C(C#N)C(=O)O)s3)ccc2c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc12|CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc43)cc21|InChI=1S/C39H28N2O2S/c1-39(2)34-22-26(37-20-17-30(44-37)21-27(24-40)38(42)43)15-18-32(34)33-19-16-29(23-35(33)39)41(28-11-4-3-5-12-28)36-14-8-10-25-9-6-7-13-31(25)36/h3-23H,1-2H3,(H,42,43)/b27-21+|10.1021/jp801036s,OSKDEENVIKVJFO-BYNJWEBRSA-N,molecule,DSSC,TiO2,nan,nan,nan,nan,6.9,0.67,16.48,64.0|CC1(C)c2cc(-c3ccc(C=C(C#N)C(=O)O)s3)ccc2-c2ccc(N(c3ccccc3)c3cccc4ccccc43)cc21|16|-0.194562|-0.10625|0.0883125|-0.20325|-0.105188|0.0980625|-0.176625|-0.126187|0.0504375|-0.235312|-0.082125|0.153188
116|C[Si](C)(C)C#Cc1c2ccccc2c2ccc3c(C#C[Si](C)(C)C)c4ccccc4c4ccc1c2c34|C[Si](C)(C)C#Cc1c2ccccc2c2ccc3c(C#C[Si](C)(C)C)c4ccccc4c4ccc1c2c34|InChI=1S/C34H30Si2/c1-35(2,3)21-19-27-23-11-7-9-13-25(23)29-16-18-32-28(20-22-36(4,5)6)24-12-8-10-14-26(24)30-15-17-31(27)33(29)34(30)32/h7-18H,1-6H3|10.1021/cm102189g,NHERTKKOUMLJCY-UHFFFAOYSA-N,molecule,bulk,PC61BM,nan,nan,nan,nan,2.25,0.83,6.55,41.0|C[Si](C)(C)C#Cc1c2ccccc2c2ccc3c(C#C[Si](C)(C)C)c4ccccc4c4ccc1c2c34|6|-0.186|-0.1005|0.0855|-0.195|-0.1|0.095|-0.172833|-0.12|0.0528333|-0.223|-0.081|0.142
117|COc1cccc(C2N=c3c(c4cccs4)ccc(c4ccc(c5ccc6c(c5)C(C)(C)c5ccccc65)s4)c3=NC2c2cccc(OC)c2)c1|COc1cccc(C2N=c3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3=NC2c2cccc(OC)c2)c1|InChI=1S/C45H36N2O2S2/c1-45(2)36-15-6-5-14-32(36)33-18-17-27(26-37(33)45)38-21-22-40(51-38)35-20-19-34(39-16-9-23-50-39)43-44(35)47-42(29-11-8-13-31(25-29)49-4)41(46-43)28-10-7-12-30(24-28)48-3/h5-26,41-42H,1-4H3|10.1039/b9py00325h,GKEQTKQEUIDEBU-UHFFFAOYSA-N,polymer,bulk,PC61BM,-6.3,-3.6,2.7,1.9,3.7,1.0,6.0,63.0|COc1cccc(C2N=c3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)s4)c3=NC2c2cccc(OC)c2)c1|19|-0.187105|-0.116211|0.0708947|-0.196|-0.115053|0.0809474|-0.171316|-0.138474|0.0328421|-0.227474|-0.0903684|0.137105
118|Cc1csc(C2=NC3SC(=NC3S2)c2cc(C)c(c3cc4c(s3)c3sccc3[Si]4(C)C)s2)c1|Cc1csc(C2=NC3SC(c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)=NC3S2)c1|InChI=1S/C24H20N2S6Si/c1-11-7-14(28-10-11)21-25-23-24(31-21)26-22(32-23)15-8-12(2)18(30-15)13-9-17-20(29-13)19-16(5-6-27-19)33(17,3)4/h5-10,23-24H,1-4H3|10.1002/adma.201200721,JSTKWROVDZBKRJ-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.04,-3.41,1.63,1.76,5.88,0.73,11.25,71.6|Cc1csc(C2=NC3SC(c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)=NC3S2)c1|16|-0.191312|-0.082625|0.108688|-0.201188|-0.0814375|0.11975|-0.17425|-0.104563|0.0696875|-0.23325|-0.0564375|0.176813
119|Cn1c2ccsc2c2sc(c3ccc(c4c5c(=O)n(C)c(c6cccs6)c5c(=O)n4C)s3)cc12|Cn1c2ccsc2c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc21|InChI=1S/C25H17N3O2S4/c1-26-12-8-10-32-22(12)23-13(26)11-17(34-23)14-6-7-16(33-14)21-19-18(24(29)28(21)3)20(27(2)25(19)30)15-5-4-9-31-15/h4-11H,1-3H3|10.1039/C1EE01072G,ZDMHOVCWTANKBX-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.02,-3.64,1.38,1.13,2.7,0.38,14.8,48.0|Cn1c2ccsc2c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc21|15|-0.177|-0.1012|0.0758|-0.186|-0.101|0.085|-0.161|-0.118667|0.0423333|-0.216|-0.0812667|0.134733
120|COc1c(OC)c(c2ccc(c3ccc(c4ccc5c6ccccc6n(C)c5c4)s3)s2)c2nsnc2c1c1ccc(c2cccs2)s1|COc1c(OC)c(-c2ccc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)s2)c2nsnc2c1-c1ccc(-c2cccs2)s1|InChI=1S/C37H25N3O2S5/c1-40-23-8-5-4-7-21(23)22-11-10-20(19-24(22)40)25-12-13-28(44-25)29-15-17-31(46-29)33-35-34(38-47-39-35)32(36(41-2)37(33)42-3)30-16-14-27(45-30)26-9-6-18-43-26/h4-19H,1-3H3|10.1039/c1jm12089a,PJWJKQRYXXPLKP-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.2,-3.29,1.91,1.93,4.12,0.9,8.44,54.2|COc1c(OC)c(-c2ccc(-c3ccc(-c4ccc5c6ccccc6n(C)c5c4)s3)s2)c2nsnc2c1-c1ccc(-c2cccs2)s1|15|-0.1796|-0.1032|0.0764|-0.189067|-0.102933|0.0861333|-0.164867|-0.1222|0.0426667|-0.2196|-0.0810667|0.138533
121|Cc1csc(c2sc(c3ccc(c4cc(C)c(c5cc(C)c(c6ccc7c8cc9c(cc8n(C)c7c6)c6ccccc6n9C)s5)s4)c4nsnc34)cc2C)c1|Cc1csc(-c2sc(-c3ccc(-c4cc(C)c(-c5cc(C)c(-c6ccc7c8cc9c(cc8n(C)c7c6)c6ccccc6n9C)s5)s4)c4nsnc43)cc2C)c1|InChI=1S/C46H34N4S5/c1-23-15-40(51-22-23)45-25(3)16-38(52-45)30-13-14-31(43-42(30)47-55-48-43)39-17-26(4)46(53-39)41-18-24(2)44(54-41)27-11-12-29-33-21-36-32(20-37(33)50(6)35(29)19-27)28-9-7-8-10-34(28)49(36)5/h7-22H,1-6H3|10.1039/b9py00325h,YKEQENVNIQFVLC-UHFFFAOYSA-N,polymer,bulk,PC61BM,-5.2,-3.2,2.0,1.9,3.6,0.69,9.17,57.0|Cc1csc(-c2sc(-c3ccc(-c4cc(C)c(-c5cc(C)c(-c6ccc7c8cc9c(cc8n(C)c7c6)c6ccccc6n9C)s5)s4)c4nsnc43)cc2C)c1|16|-0.178187|-0.104125|0.0740625|-0.187187|-0.103938|0.08325|-0.163062|-0.122813|0.04025|-0.218125|-0.0828125|0.135313
